Date,Zone,PM2.5,PM10,SO2,NO2,CO,O3,NH3,Pb,Temperature,Humidity,Wind_Speed
2019-01-01,Mathura_Refinery,138.627,152.222,84.048,98.369,2.89,0.01,30.694,0.24,20.579,84.878,4.449
2019-01-02,Mathura_Refinery,97.748,201.899,66.823,53.52,3.33,13.774,38.583,0.47,19.091,51.477,10.7
2019-01-03,Mathura_Refinery,136.021,228.422,61.486,63.57495433048566,4.72740443568676,11.712,49.978,0.333,18.015,52.731,8.07
2019-01-04,Mathura_Refinery,157.212,141.849,73.414,72.78,4.266,29.974,53.072,0.43,18.203,71.489,10.462
2019-01-05,Mathura_Refinery,74.919,164.798,40.654,37.839,3.36,32.611,52.339,0.264,19.36,60.718,11.142
2019-01-06,Mathura_Refinery,58.371,181.753,69.394,47.68,2.067,29.778,38.335,0.603,17.37,69.778,10.019
2019-01-07,Mathura_Refinery,101.511,202.135,69.936,70.233,1.544,25.228,42.43,0.569,16.258,66.653,8.523
2019-01-08,Mathura_Refinery,105.222,181.597,87.458,84.157,1.293,18.506,56.286,0.471,19.681,58.991,8.616
2019-01-09,Mathura_Refinery,115.899,186.597,57.405,79.029,3.244,18.03,41.347,0.412,17.854,54.727,9.448
2019-01-10,Mathura_Refinery,94.595,206.087,47.79,72.683,2.477,34.305,48.79,0.355,18.693,33.691,8.79
2019-01-11,Mathura_Refinery,139.143,226.801,40.19,93.455,3.441,24.113,43.464,0.304,18.23,42.775,5.026
2019-01-12,Mathura_Refinery,136.707,230.301,51.83,81.636,3.281,9.651,40.837,0.253,18.114,51.767,2.992
2019-01-13,Mathura_Refinery,117.75,250.632,54.095,62.1,3.071,21.415,38.737,0.5,20.361,55.359,9.166
2019-01-14,Mathura_Refinery,156.039,226.136,53.711,73.71,3.801,32.806,33.475,0.39,19.085,78.512,4.399
2019-01-15,Mathura_Refinery,151.141,208.545,44.896,85.006,3.847,38.362,36.911,0.162,18.194,66.536,6.971
2019-01-16,Mathura_Refinery,108.529,244.524,37.39,115.225,1.545,36.66,42.544,0.174,17.974,65.139,7.095
2019-01-17,Mathura_Refinery,129.088,267.224,53.571,109.358,2.522,37.015,42.192,0.454,17.563,69.779,7.976
2019-01-18,Mathura_Refinery,96.638,225.976,53.466,115.238,3.568,29.9,59.634,0.411,17.173,65.565,5.596
2019-01-19,Mathura_Refinery,122.194,237.245,44.958,76.096,4.415,13.302,54.253,0.366,17.279,57.79,7.775
2019-01-20,Mathura_Refinery,108.941,249.201,70.539,61.799,4.787,17.66,45.855,0.49,20.454,54.727,8.343
2019-01-21,Mathura_Refinery,112.197,301.569,66.243,68.254,2.908,25.792,36.554,0.356,20.374,50.882,13.935
2019-01-22,Mathura_Refinery,98.298,345.779,85.762,72.576,3.041,24.261,32.186,0.487,18.842,57.071,10.647
2019-01-23,Mathura_Refinery,150.851,236.366,65.202,57.678,2.032,23.375,59.73,0.369,20.163,53.573,11.89
2019-01-24,Mathura_Refinery,129.757,234.759,69.171,95.33,4.319,18.057,39.487,0.485,17.017,59.903,6.409
2019-01-25,Mathura_Refinery,112.913,233.88,66.014,102.999,4.789,15.703,43.13,0.404,20.052,46.553,9.506
2019-01-26,Mathura_Refinery,97.387,204.645,36.784,75.888,3.964,28.24,41.921,0.351,21.178,52.449,9.077
2019-01-27,Mathura_Refinery,113.35,171.084,65.475,79.974,3.499,33.484,35.623,0.444,23.013,68.466,8.997
2019-01-28,Mathura_Refinery,130.322,136.473,63.182,84.047,4.772,28.314,29.869,0.536,22.015,57.603,8.994
2019-01-29,Mathura_Refinery,138.455,197.906,75.999,95.11,5.131,28.1,29.814,0.453,20.822,73.355,11.981
2019-01-30,Mathura_Refinery,142.157,181.251,57.681,60.089,5.224,19.935,32.251,0.38,21.609,63.333,10.128
2019-01-31,Mathura_Refinery,195.383,215.154,59.472,68.89,4.65,27.152,31.507,0.62,19.2,57.184,7.205
2019-02-01,Mathura_Refinery,139.363,186.666,49.212,74.018,3.72,37.302,52.327,0.584,18.606,56.407,6.388
2019-02-02,Mathura_Refinery,103.548,145.594,67.613,78.585,3.817,19.219,42.234,0.405,18.884,51.936,9.071
2019-02-03,Mathura_Refinery,81.641,181.274,63.059,60.736,3.887,22.681,33.77,0.306,21.101,33.923,9.368
2019-02-04,Mathura_Refinery,124.407,217.422,69.659,24.3,3.543,27.783,40.444,0.513,18.826,54.525,5.333
2019-02-05,Mathura_Refinery,156.799,251.898,87.563,36.543,3.264,29.807,48.857,0.478,17.807,75.523,8.014
2019-02-06,Mathura_Refinery,132.242,341.239,91.505,60.664,4.424,37.986,41.739,0.428,19.171,67.279,5.733
2019-02-07,Mathura_Refinery,100.522,286.624,86.953,72.585,5.337,43.929,51.667,0.443,20.457,64.573,8.013
2019-02-08,Mathura_Refinery,88.215,274.273,51.377,107.737,3.632,31.429,33.276,0.477,18.974,56.454,6.314
2019-02-09,Mathura_Refinery,111.187,180.654,43.424,90.859,3.028,29.003,44.338,0.396,20.408,66.236,6.734
2019-02-10,Mathura_Refinery,122.503,134.972,36.298,76.262,3.215,24.863,38.746,0.496,22.039,58.512,6.35
2019-02-11,Mathura_Refinery,137.405,263.973,63.897,76.646,3.824,21.297,40.507,0.614,22.502,58.402,10.53
2019-02-12,Mathura_Refinery,107.297,198.212,66.33,97.908,3.207,25.964,34.593,0.568,21.522,40.547,9.856
2019-02-13,Mathura_Refinery,121.725,166.094,43.432,74.72,4.992,30.596,26.756,0.655,20.547,43.474,11.391
2019-02-14,Mathura_Refinery,123.903,199.709,52.498,73.718,4.464,29.464,19.145,0.517,22.844,53.36,15.436
2019-02-15,Mathura_Refinery,127.603,210.472,36.249,55.629,4.339,21.636,25.217,0.547,21.344,62.562,11.073
2019-02-16,Mathura_Refinery,131.128,160.713,45.039,82.033,4.689,19.167,35.778,0.531,22.136,66.512,12.383
2019-02-17,Mathura_Refinery,116.654,163.347,28.531,76.826,3.294,18.27,27.082,0.526,23.98,43.655,8.284
2019-02-18,Mathura_Refinery,137.58,255.612,56.987,63.695,3.334,17.558,20.378,0.576,23.163,35.498,10.749
2019-02-19,Mathura_Refinery,127.869,198.68,65.984,69.233,2.373,25.306,24.068,0.559,20.261,52.277,7.404
2019-02-20,Mathura_Refinery,130.232,148.77,92.361,82.744,2.884,29.219,30.73,0.717,18.818,46.052,7.723
2019-02-21,Mathura_Refinery,140.884,235.144,86.907,74.124,1.992,34.793,33.727,0.469,19.663,59.516,9.017
2019-02-22,Mathura_Refinery,84.461,248.713,65.671,65.397,3.482,24.261,37.013,0.416,21.519,40.361,9.865
2019-02-23,Mathura_Refinery,83.991,185.104,66.894,53.779,3.379,32.08442276075675,43.64,0.349,21.949,47.588,6.073
2019-02-24,Mathura_Refinery,80.075,123.533,40.213,63.867,2.859,30.685,47.967,0.305,24.729,51.102,5.409
2019-02-25,Mathura_Refinery,83.344,146.936,38.757,64.15,3.109,27.713,63.477,0.128,23.361,57.511,8.247
2019-02-26,Mathura_Refinery,94.885,186.974,57.147,62.421,3.907,27.999,33.966,0.465,21.788,45.382,7.327
2019-02-27,Mathura_Refinery,149.729,257.207,27.866,45.811,2.673,26.728,29.645,0.305,20.072,31.436,4.796
2019-02-28,Mathura_Refinery,104.264,186.432,47.11,64.329,3.263,35.768,42.996,0.386,22.793,46.639,6.569
2019-03-01,Mathura_Refinery,137.829,200.176,40.379,66.976,3.892,39.805,37.048,0.224,22.248,56.173,7.178
2019-03-02,Mathura_Refinery,72.485,211.146,47.285,58.655,2.034,36.729,41.635,0.351,19.947,64.661,8.043
2019-03-03,Mathura_Refinery,77.546,103.693,35.876,62.801,2.924,29.019,38.178,0.261,21.306,54.779,9.128
2019-03-04,Mathura_Refinery,103.574,214.96,56.459,82.284,1.83,22.417,54.431,0.208,20.463,61.851,9.429
2019-03-05,Mathura_Refinery,125.533,161.676,58.728,89.053,2.631,40.659,55.657,0.346,21.027,61.862,6.959
2019-03-06,Mathura_Refinery,137.476,206.222,79.24,88.951,2.114,40.139,56.195,0.293,21.955,69.999,6.721
2019-03-07,Mathura_Refinery,144.195,219.79,67.389,74.9,3.955,30.187,42.3,0.286,21.097,59.861,9.437
2019-03-08,Mathura_Refinery,115.04,261.0,51.513,63.47,2.64,40.533,39.638,0.371,21.438,39.53,7.434
2019-03-09,Mathura_Refinery,90.591,227.662,46.874,46.137,1.607,27.518,32.914,0.421,21.289,47.554,6.944
2019-03-10,Mathura_Refinery,110.444,109.934,32.171,45.518,2.341,34.693,20.862,0.283,21.353,52.281,4.419
2019-03-11,Mathura_Refinery,105.142,134.938,53.595,61.364,2.561,43.275,45.452,0.231,21.045,58.349,6.507
2019-03-12,Mathura_Refinery,73.342,183.922,64.56,53.777,1.796,28.266,48.376,0.328,21.765,40.842,8.128
2019-03-13,Mathura_Refinery,64.339,188.82,94.882,65.606,3.055,34.067,39.316,0.425,21.548,45.704,3.903
2019-03-14,Mathura_Refinery,66.341,218.726,63.943,52.196,1.613,38.103,50.825,0.569,23.682,59.119,4.114
2019-03-15,Mathura_Refinery,104.918,243.192,56.332,35.007,1.766,54.358,37.503,0.334,24.069,55.036,3.46
2019-03-16,Mathura_Refinery,98.558,218.945,44.315,59.929,1.917,32.187,19.996,0.292,25.745,51.443,7.839
2019-03-17,Mathura_Refinery,107.771,180.373,48.29,51.872,2.834,37.751,34.349,0.415,27.502,71.507,3.92
2019-03-18,Mathura_Refinery,96.009,116.293,58.49,48.379,4.0,34.035,24.809,0.616,26.555,50.602,6.203
2019-03-19,Mathura_Refinery,106.475,147.966,56.503,42.607,4.308,22.465,30.71,0.36,25.94,64.627,8.789
