Date,Zone,PM2.5,PM10,SO2,NO2,CO,O3,NH3,Pb,Temperature,Humidity,Wind_Speed,AQI,AQI_Category,AQI_MA7,AQI_MA30,PM2.5_MA7,PM2.5_MA30,PM10_MA7,PM10_MA30,AQI_lag1,AQI_lag7,AQI_roc,DayOfWeek,Month,Season,IsWeekend
2019-01-01,Mathura_Refinery,138.627,201.899,66.823,95.20100000000001,2.89,0.01,30.694,0.24,20.579,84.878,4.449,314.5,Very Poor,314.5,314.5,138.627,138.627,201.899,201.899,314.5,314.5,-0.28775834658187605,1,1,Winter,0
2019-01-02,Mathura_Refinery,97.748,201.899,66.823,53.52,3.33,13.774,38.583,0.47,19.091,51.477,10.7,224.0,Poor,269.25,269.25,118.1875,118.1875,201.899,201.899,314.5,314.5,-0.28775834658187605,2,1,Winter,0
2019-01-03,Mathura_Refinery,136.021,228.422,70.1185,63.57495433048566,4.3135,11.712,49.978,0.333,18.015,61.483000000000004,8.07,312.5,Very Poor,283.6666666666667,283.6666666666667,124.132,124.132,210.74,210.74,224.0,314.5,0.3950892857142858,3,1,Winter,0
2019-01-04,Mathura_Refinery,146.0655,141.849,73.414,72.78,4.04370221784338,29.974,50.181749999999994,0.43,18.203,71.489,10.462,320.2,Very Poor,292.8,292.8,129.615375,129.615375,193.51725,193.51725,312.5,314.5,0.024639999999999995,4,1,Winter,0
2019-01-05,Mathura_Refinery,74.919,164.798,40.654,37.839,3.36,32.611,50.181749999999994,0.264,19.36,60.718,11.142,148.5,Moderate,263.94,263.94,118.67609999999999,118.67609999999999,187.77339999999998,187.77339999999998,320.2,314.5,-0.5362273579013117,5,1,Winter,1
2019-01-06,Mathura_Refinery,88.215,181.753,69.394,47.68,2.067,29.778,38.335,0.522,17.37,69.778,10.019,193.9,Moderate,252.26666666666665,252.26666666666665,113.59925,113.59925,186.76999999999998,186.76999999999998,148.5,314.5,0.30572390572390584,6,1,Winter,1
2019-01-07,Mathura_Refinery,101.511,202.135,69.936,70.233,1.544,25.228,42.43,0.522,16.258,66.653,8.523,236.9,Poor,250.07142857142858,250.07142857142858,111.87235714285714,111.87235714285714,188.96499999999997,188.96499999999997,193.9,314.5,0.2217637957710159,0,1,Winter,0
2019-01-08,Mathura_Refinery,105.222,181.597,87.458,84.157,1.293,18.506,50.181749999999994,0.471,19.681,58.991,8.616,249.6,Poor,240.79999999999998,250.0125,107.10021428571427,111.0410625,186.06471428571427,188.04399999999998,236.9,314.5,0.05360911777121147,1,1,Winter,0
2019-01-09,Mathura_Refinery,115.899,186.597,57.405,79.029,3.244,18.03,41.347,0.412,17.854,54.727,9.448,286.0,Poor,249.65714285714284,254.0111111111111,109.69321428571428,111.58083333333333,183.8787142857143,187.88322222222223,249.6,224.0,0.14583333333333326,2,1,Winter,0
2019-01-10,Mathura_Refinery,94.595,206.087,47.79,72.683,2.477,34.305,48.79,0.355,18.693,33.691,7.237,213.3,Poor,235.4857142857143,249.94,103.77521428571428,109.88225,180.68800000000002,189.7036,286.0,312.5,-0.2541958041958041,3,1,Winter,0
