Day_Ahead,Predicted_AQI,CI_Lower,CI_Upper
1,160.6,71.2,250.1
2,157.1,58.8,255.3
3,156.4,56.6,256.1
4,156.7,56.6,256.8
5,157.4,57.1,257.7
6,158.2,57.7,258.7
7,159.0,58.4,259.6
8,159.8,59.1,260.6
9,160.6,59.7,261.5
10,161.4,60.3,262.5
11,162.1,60.8,263.4
12,162.9,61.3,264.4
13,163.6,61.8,265.3
14,164.3,62.3,266.3
15,164.9,62.7,267.2
16,165.6,63.0,268.1
17,166.2,63.3,269.0
18,166.8,63.6,270.0
19,167.4,63.9,270.9
20,168.0,64.1,271.8
21,168.5,64.3,272.7
22,169.0,64.5,273.6
23,169.6,64.6,274.5
24,170.1,64.7,275.5
25,170.6,64.7,276.4
26,171.0,64.8,277.3
27,171.5,64.8,278.2
28,171.9,64.8,279.1
29,172.4,64.7,280.0
30,172.8,64.7,281.0
